Algorithm Data.
a,b,c,
0.678335,0.317877,1.25553,0.588661,1.07
0.691008,0.323818,1.26724,0.594162,1.08
0.703797,0.329815,1.27895,0.599664,1.09
0.716704,0.335867,1.29066,0.605165,1.1
0.729728,0.341973,1.30237,0.610667,1.11
0.742868,0.348135,1.31407,0.616168,1.12
0.756126,0.354352,1.32578,0.62167,1.13
0.769501,0.360623,1.33748,0.627171,1.14
0.782993,0.36695,1.34919,0.632673,1.15
0.796602,0.373332,1.36089,0.638174,1.16
0.810328,0.379769,1.3726,0.643676,1.17
0.824171,0.38626,1.3843,0.649177,1.18
0.838131,0.392807,1.396,0.654679,1.19
0.852208,0.399409,1.4077,0.66018,1.2
0.866402,0.406066,1.4194,0.665682,1.21
0.880713,0.412778,1.4311,0.671183,1.22
0.895141,0.419545,1.4428,0.676685,1.23
0.909686,0.426366,1.4545,0.682186,1.24
0.924348,0.433243,1.46619,0.687688,1.25
0.939127,0.440175,1.47789,0.693189,1.26
0.954023,0.447162,1.48959,0.698691,1.27
0.969035,0.454204,1.50128,0.704192,1.28
0.984165,0.461301,1.51297,0.709694,1.29
0.999412,0.468453,1.52467,0.715195,1.3
1.01478,0.47566,1.53636,0.720697,1.31
1.03026,0.482922,1.54805,0.726198,1.32
1.04585,0.490239,1.55974,0.7317,1.33
1.06157,0.497611,1.57143,0.737201,1.34
1.0774,0.505038,1.58312,0.742703,1.35
1.09335,0.51252,1.59481,0.748204,1.36
1.10941,0.520057,1.60649,0.753706,1.37
1.12559,0.527649,1.61818,0.759207,1.38
1.14189,0.535296,1.62987,0.764709,1.39
1.15831,0.542998,1.64155,0.77021,1.4
1.17484,0.550755,1.65323,0.775712,1.41
1.19149,0.558567,1.66492,0.781213,1.42
1.20826,0.566435,1.6766,0.786715,1.43
1.22514,0.574357,1.68828,0.792216,1.44
1.24214,0.582334,1.69996,0.797718,1.45
1.25925,0.590366,1.71164,0.803219,1.46
1.27649,0.598453,1.72332,0.808721,1.47
1.29384,0.606596,1.73499,0.814222,1.48
1.3113,0.614793,1.74667,0.819724,1.49
1.32889,0.623045,1.75835,0.825225,1.5
1.34659,0.631352,1.77002,0.830727,1.51
1.3644,0.639715,1.78169,0.836228,1.52
1.38234,0.648132,1.79337,0.84173,1.53
1.40039,0.656604,1.80504,0.847231,1.54
1.41856,0.665132,1.81671,0.852733,1.55
1.43684,0.673714,1.82838,0.858234,1.56
1.45524,0.682351,1.84005,0.863736,1.57
1.47376,0.691044,1.85172,0.869237,1.58
1.49239,0.699791,1.86338,0.874739,1.59
1.51114,0.708593,1.87505,0.88024,1.6
1.53001,0.717451,1.88671,0.885742,1.61
1.54899,0.726363,1.89838,0.891243,1.62
1.56809,0.735331,1.91004,0.896745,1.63
1.58731,0.744353,1.9217,0.902246,1.64
1.60664,0.753431,1.93336,0.907748,1.65
1.62609,0.762563,1.94502,0.913249,1.66
1.64566,0.771751,1.95668,0.918751,1.67
1.66534,0.780993,1.96834,0.924252,1.68
1.68514,0.790291,1.97999,0.929754,1.69
1.70506,0.799643,1.99165,0.935255,1.7
1.72509,0.809051,2.0033,0.940757,1.71
1.74524,0.818513,2.01496,0.946258,1.72
1.76551,0.828031,2.02661,0.95176,1.73
1.78589,0.837604,2.03826,0.957261,1.74
1.80639,0.847231,2.04991,0.962763,1.75
1.82701,0.856914,2.06156,0.968264,1.76
1.84774,0.866652,2.07321,0.973766,1.77
1.86859,0.876444,2.08485,0.979267,1.78
1.88955,0.886292,2.0965,0.984769,1.79
1.91063,0.896195,2.10814,0.99027,1.8
1.93183,0.906152,2.11979,0.995772,1.81
1.95315,0.916165,2.13143,1.00127,1.82
1.97458,0.926233,2.14307,1.00677,1.83
1.99612,0.936356,2.15471,1.01228,1.84
2.01779,0.946533,2.16635,1.01778,1.85
2.03957,0.956766,2.17799,1.02328,1.86
2.06146,0.967054,2.18962,1.02878,1.87
2.08347,0.977397,2.20126,1.03428,1.88
2.1056,0.987795,2.21289,1.03978,1.89
2.12785,0.998247,2.22452,1.04529,1.9
2.15021,1.00876,2.23616,1.05079,1.91
2.17269,1.01932,2.24779,1.05629,1.92
2.19528,1.02994,2.25942,1.06179,1.93
2.21799,1.04061,2.27104,1.06729,1.94
2.24082,1.05134,2.28267,1.07279,1.95
2.26376,1.06212,2.2943,1.07829,1.96
2.28682,1.07296,2.30592,1.0838,1.97
2.31,1.08385,2.31755,1.0893,1.98
2.33329,1.0948,2.32917,1.0948,1.99
2.3567,1.1058,2.34079,1.1003,2
2.38022,1.11686,2.35241,1.1058,2.01
2.40386,1.12797,2.36403,1.1113,2.02
2.42762,1.13914,2.37564,1.1168,2.03
2.45149,1.15036,2.38726,1.12231,2.04
2.47548,1.16164,2.39887,1.12781,2.05
2.49958,1.17298,2.41049,1.13331,2.06
2.52381,1.18436,2.4221,1.13881,2.07
2.54814,1.19581,2.43371,1.14431,2.08
2.5726,1.2073,2.44532,1.14981,2.09
2.59716,1.21886,2.45693,1.15532,2.1
2.62185,1.23047,2.46853,1.16082,2.11
2.64665,1.24213,2.48014,1.16632,2.12
2.67157,1.25385,2.49174,1.17182,2.13
2.6966,1.26562,2.50335,1.17732,2.14
2.72175,1.27745,2.51495,1.18282,2.15
2.74702,1.28933,2.52655,1.18832,2.16
2.7724,1.30127,2.53815,1.19383,2.17
2.7979,1.31326,2.54974,1.19933,2.18
2.82351,1.32531,2.56134,1.20483,2.19
2.84924,1.33742,2.57293,1.21033,2.2
2.87508,1.34957,2.58453,1.21583,2.21
2.90105,1.36179,2.59612,1.22133,2.22
2.92712,1.37406,2.60771,1.22683,2.23
2.95332,1.38638,2.6193,1.23234,2.24
2.97962,1.39876,2.63089,1.23784,2.25
3.00605,1.41119,2.64247,1.24334,2.26
3.03259,1.42368,2.65406,1.24884,2.27
3.05925,1.43622,2.66564,1.25434,2.28
3.08602,1.44882,2.67722,1.25984,2.29
3.11291,1.46147,2.68881,1.26535,2.3
3.13991,1.47418,2.70038,1.27085,2.31
3.16703,1.48695,2.71196,1.27635,2.32
3.19427,1.49976,2.72354,1.28185,2.33
3.22162,1.51264,2.73511,1.28735,2.34
3.24908,1.52557,2.74669,1.29285,2.35
3.27667,1.53855,2.75826,1.29835,2.36
3.30436,1.55159,2.76983,1.30386,2.37
3.33218,1.56468,2.7814,1.30936,2.38
3.36011,1.57783,2.79297,1.31486,2.39
3.38815,1.59103,2.80453,1.32036,2.4
3.41631,1.60429,2.8161,1.32586,2.41
3.44459,1.61761,2.82766,1.33136,2.42
3.47298,1.63098,2.83922,1.33686,2.43
3.50149,1.6444,2.85078,1.34237,2.44
3.53011,1.65788,2.86234,1.34787,2.45
3.55885,1.67141,2.8739,1.35337,2.46
3.58771,1.685,2.88545,1.35887,2.47
3.61668,1.69864,2.89701,1.36437,2.48
3.64576,1.71234,2.90856,1.36987,2.49
3.67496,1.7261,2.92011,1.37538,2.5
3.70428,1.7399,2.93166,1.38088,2.51
3.73371,1.75377,2.94321,1.38638,2.52
3.76326,1.76769,2.95476,1.39188,2.53
3.79292,1.78166,2.9663,1.39738,2.54
3.8227,1.79569,2.97784,1.40288,2.55
3.8526,1.80977,2.98939,1.40838,2.56
3.88261,1.82391,3.00093,1.41389,2.57
3.91273,1.83811,3.01246,1.41939,2.58
3.94297,1.85236,3.024,1.42489,2.59
3.97333,1.86666,3.03554,1.43039,2.6
4.0038,1.88102,3.04707,1.43589,2.61
4.03438,1.89543,3.0586,1.44139,2.62
4.06508,1.9099,3.07013,1.44689,2.63
4.0959,1.92443,3.08166,1.4524,2.64
4.12683,1.939,3.09319,1.4579,2.65
4.15788,1.95364,3.10472,1.4634,2.66
4.18904,1.96833,3.11624,1.4689,2.67
4.22032,1.98307,3.12776,1.4744,2.68
4.25171,1.99787,3.13928,1.4799,2.69
4.28322,2.01272,3.1508,1.48541,2.7
4.31484,2.02763,3.16232,1.49091,2.71
4.34658,2.0426,3.17383,1.49641,2.72
4.37843,2.05762,3.18535,1.50191,2.73
4.4104,2.07269,3.19686,1.50741,2.74
4.44249,2.08782,3.20837,1.51291,2.75
4.47469,2.103,3.21988,1.51841,2.76
4.507,2.11824,3.23139,1.52392,2.77
4.53943,2.13354,3.24289,1.52942,2.78
4.57197,2.14889,3.2544,1.53492,2.79
4.60463,2.16429,3.2659,1.54042,2.8
4.63741,2.17975,3.2774,1.54592,2.81
4.67029,2.19526,3.2889,1.55142,2.82
4.7033,2.21083,3.3004,1.55693,2.83
4.73642,2.22646,3.31189,1.56243,2.84
4.76965,2.24214,3.32338,1.56793,2.85
4.803,2.25787,3.33488,1.57343,2.86
4.83646,2.27366,3.34637,1.57893,2.87
4.87004,2.2895,3.35785,1.58443,2.88
4.90374,2.3054,3.36934,1.58993,2.89
4.93754,2.32136,3.38083,1.59544,2.9
4.97147,2.33737,3.39231,1.60094,2.91
5.00551,2.35343,3.40379,1.60644,2.92
5.03966,2.36955,3.41527,1.61194,2.93
5.07393,2.38573,3.42675,1.61744,2.94
5.10831,2.40196,3.43822,1.62294,2.95
5.1428,2.41824,3.4497,1.62844,2.96
5.17742,2.43458,3.46117,1.63395,2.97
5.21214,2.45097,3.47264,1.63945,2.98
5.24698,2.46742,3.48411,1.64495,2.99
5.28194,2.48393,3.49557,1.65045,3
5.31701,2.50049,3.50704,1.65595,3.01
5.35219,2.5171,3.5185,1.66145,3.02
5.38749,2.53377,3.52996,1.66696,3.03
5.42291,2.5505,3.54142,1.67246,3.04
5.45844,2.56728,3.55288,1.67796,3.05
5.49408,2.58411,3.56433,1.68346,3.06
5.52984,2.601,3.57579,1.68896,3.07
5.56571,2.61794,3.58724,1.69446,3.08
5.6017,2.63494,3.59869,1.69996,3.09
5.6378,2.652,3.61014,1.70547,3.1
5.67401,2.66911,3.62158,1.71097,3.11
5.71035,2.68627,3.63303,1.71647,3.12
5.74679,2.70349,3.64447,1.72197,3.13
5.78335,2.72077,3.65591,1.72747,3.14
5.82002,2.7381,3.66735,1.73297,3.15
5.85681,2.75548,3.67878,1.73847,3.16
5.89371,2.77292,3.69022,1.74398,3.17
5.93073,2.79042,3.70165,1.74948,3.18
5.96786,2.80797,3.71308,1.75498,3.19
6.00511,2.82557,3.72451,1.76048,3.2
6.04246,2.84323,3.73594,1.76598,3.21
6.07994,2.86095,3.74736,1.77148,3.22
6.11753,2.87872,3.75879,1.77699,3.23
6.15523,2.89654,3.77021,1.78249,3.24
6.19304,2.91442,3.78163,1.78799,3.25
6.23097,2.93236,3.79304,1.79349,3.26
6.26902,2.95035,3.80446,1.79899,3.27
6.30718,2.96839,3.81587,1.80449,3.28
6.34545,2.98649,3.82728,1.80999,3.29
6.38384,3.00465,3.83869,1.8155,3.3
6.42234,3.02286,3.8501,1.821,3.31
6.46095,3.04112,3.8615,1.8265,3.32
6.49968,3.05944,3.87291,1.832,3.33
6.53853,3.07782,3.88431,1.8375,3.34
6.57748,3.09625,3.89571,1.843,3.35
6.61655,3.11473,3.9071,1.8485,3.36
6.65574,3.13327,3.9185,1.85401,3.37
6.69504,3.15187,3.92989,1.85951,3.38
6.73445,3.17052,3.94128,1.86501,3.39
6.77398,3.18922,3.95267,1.87051,3.4
6.81362,3.20798,3.96406,1.87601,3.41
6.85337,3.2268,3.97544,1.88151,3.42
6.89324,3.24567,3.98682,1.88702,3.43
6.93322,3.26459,3.9982,1.89252,3.44
6.97332,3.28357,4.00958,1.89802,3.45
7.01353,3.30261,4.02096,1.90352,3.46
7.05385,3.3217,4.03233,1.90902,3.47
7.09429,3.34084,4.0437,1.91452,3.48
7.13484,3.36004,4.05507,1.92002,3.49
7.1755,3.3793,4.06644,1.92553,3.5
7.21628,3.39861,4.07781,1.93103,3.51
7.25717,3.41797,4.08917,1.93653,3.52
7.29818,3.43739,4.10053,1.94203,3.53
7.3393,3.45687,4.11189,1.94753,3.54
7.38053,3.4764,4.12325,1.95303,3.55
7.42188,3.49598,4.13461,1.95853,3.56
7.46334,3.51562,4.14596,1.96404,3.57
7.50491,3.53532,4.15731,1.96954,3.58
7.5466,3.55507,4.16866,1.97504,3.59
7.5884,3.57488,4.18,1.98054,3.6
7.63031,3.59474,4.19135,1.98604,3.61
7.67234,3.61465,4.20269,1.99154,3.62
7.71448,3.63462,4.21403,1.99705,3.63
7.75673,3.65465,4.22537,2.00255,3.64
7.7991,3.67473,4.2367,2.00805,3.65
7.84158,3.69486,4.24804,2.01355,3.66
7.88417,3.71505,4.25937,2.01905,3.67
7.92688,3.7353,4.2707,2.02455,3.68
7.9697,3.7556,4.28202,2.03005,3.69
8.01263,3.77596,4.29335,2.03556,3.7
8.05568,3.79637,4.30467,2.04106,3.71
8.09884,3.81683,4.31599,2.04656,3.72
8.14211,3.83735,4.32731,2.05206,3.73
8.1855,3.85793,4.33862,2.05756,3.74
8.229,3.87856,4.34994,2.06306,3.75
8.27261,3.89924,4.36125,2.06856,3.76
8.31633,3.91999,4.37256,2.07407,3.77
8.36017,3.94078,4.38386,2.07957,3.78
8.40413,3.96163,4.39517,2.08507,3.79
8.44819,3.98254,4.40647,2.09057,3.8
8.49237,4.0035,4.41777,2.09607,3.81
8.53666,4.02451,4.42906,2.10157,3.82
8.58106,4.04558,4.44036,2.10708,3.83
8.62558,4.06671,4.45165,2.11258,3.84
8.67021,4.08789,4.46294,2.11808,3.85
8.71495,4.10913,4.47423,2.12358,3.86
8.75981,4.13042,4.48552,2.12908,3.87
8.80477,4.15176,4.4968,2.13458,3.88
8.84985,4.17316,4.50808,2.14008,3.89
8.89505,4.19462,4.51936,2.14559,3.9
8.94035,4.21613,4.53064,2.15109,3.91
8.98577,4.2377,4.54191,2.15659,3.92
9.0313,4.25932,4.55318,2.16209,3.93
9.07695,4.28099,4.56445,2.16759,3.94
9.12271,4.30272,4.57572,2.17309,3.95
9.16858,4.32451,4.58698,2.17859,3.96
9.21456,4.34635,4.59825,2.1841,3.97
9.26065,4.36825,4.60951,2.1896,3.98
9.30686,4.3902,4.62076,2.1951,3.99
9.35318,4.4122,4.63202,2.2006,4
9.39961,4.43427,4.64327,2.2061,4.01
9.44616,4.45638,4.65452,2.2116,4.02
9.49282,4.47855,4.66577,2.21711,4.03
9.53959,4.50078,4.67702,2.22261,4.04
9.58647,4.52306,4.68826,2.22811,4.05
9.63347,4.5454,4.6995,2.23361,4.06
9.68057,4.56779,4.71074,2.23911,4.07
9.72779,4.59023,4.72198,2.24461,4.08
9.77512,4.61273,4.73321,2.25011,4.09
9.82257,4.63529,4.74444,2.25562,4.1
9.87013,4.6579,4.75567,2.26112,4.11
9.91779,4.68057,4.7669,2.26662,4.12
9.96558,4.70329,4.77812,2.27212,4.13
10.0135,4.72607,4.78934,2.27762,4.14
10.0615,4.7489,4.80056,2.28312,4.15
10.1096,4.77178,4.81178,2.28862,4.16
10.1578,4.79472,4.82299,2.29413,4.17
10.2062,4.81772,4.8342,2.29963,4.18
10.2546,4.84077,4.84541,2.30513,4.19
10.3032,4.86388,4.85662,2.31063,4.2
10.3519,4.88704,4.86782,2.31613,4.21
10.4007,4.91026,4.87902,2.32163,4.22
10.4496,4.93353,4.89022,2.32714,4.23
10.4986,4.95685,4.90142,2.33264,4.24
10.5477,4.98023,4.91261,2.33814,4.25
10.5969,5.00367,4.9238,2.34364,4.26
10.6463,5.02716,4.93499,2.34914,4.27
10.6957,5.05071,4.94618,2.35464,4.28
10.7453,5.07431,4.95736,2.36014,4.29
10.795,5.09797,4.96854,2.36565,4.3
10.8448,5.12168,4.97972,2.37115,4.31
10.8947,5.14544,4.9909,2.37665,4.32
10.9447,5.16927,5.00207,2.38215,4.33
10.9949,5.19314,5.01324,2.38765,4.34
11.0451,5.21707,5.02441,2.39315,4.35
11.0955,5.24106,5.03558,2.39865,4.36
11.1459,5.2651,5.04674,2.40416,4.37
11.1965,5.2892,5.0579,2.40966,4.38
11.2472,5.31335,5.06906,2.41516,4.39
11.298,5.33756,5.08022,2.42066,4.4
11.3489,5.36182,5.09137,2.42616,4.41
11.3999,5.38614,5.10252,2.43166,4.42
11.4511,5.41051,5.11367,2.43717,4.43
11.5023,5.43493,5.12481,2.44267,4.44
11.5537,5.45942,5.13596,2.44817,4.45
11.6052,5.48395,5.1471,2.45367,4.46
11.6567,5.50854,5.15823,2.45917,4.47
11.7084,5.53319,5.16937,2.46467,4.48
11.7602,5.55789,5.1805,2.47017,4.49
11.8122,5.58265,5.19163,2.47568,4.5
11.8642,5.60746,5.20276,2.48118,4.51
11.9163,5.63233,5.21388,2.48668,4.52
11.9686,5.65725,5.225,2.49218,4.53
12.0209,5.68223,5.23612,2.49768,4.54
12.0734,5.70726,5.24724,2.50318,4.55
12.126,5.73234,5.25835,2.50868,4.56
12.1787,5.75749,5.26946,2.51419,4.57
12.2315,5.78268,5.28057,2.51969,4.58
12.2844,5.80794,5.29167,2.52519,4.59
12.3374,5.83324,5.30278,2.53069,4.6
12.3906,5.8586,5.31388,2.53619,4.61
12.4438,5.88402,5.32497,2.54169,4.62
12.4972,5.90949,5.33607,2.5472,4.63
12.5507,5.93502,5.34716,2.5527,4.64
12.6042,5.9606,5.35825,2.5582,4.65
12.6579,5.98624,5.36934,2.5637,4.66
12.7117,6.01193,5.38042,2.5692,4.67
12.7656,6.03768,5.3915,2.5747,4.68
12.8197,6.06348,5.40258,2.5802,4.69
12.8738,6.08934,5.41366,2.58571,4.7
12.9281,6.11525,5.42473,2.59121,4.71
12.9824,6.14122,5.4358,2.59671,4.72
13.0369,6.16724,5.44687,2.60221,4.73
13.0915,6.19332,5.45793,2.60771,4.74
13.1462,6.21945,5.46899,2.61321,4.75
13.201,6.24563,5.48005,2.61871,4.76
13.2559,6.27188,5.49111,2.62422,4.77
13.3109,6.29817,5.50216,2.62972,4.78
13.366,6.32453,5.51321,2.63522,4.79
13.4213,6.35093,5.52426,2.64072,4.8
13.4766,6.3774,5.5353,2.64622,4.81
13.5321,6.40391,5.54635,2.65172,4.82
13.5877,6.43049,5.55739,2.65723,4.83
13.6433,6.45711,5.56842,2.66273,4.84
13.6991,6.48379,5.57946,2.66823,4.85
13.755,6.51053,5.59049,2.67373,4.86
13.8111,6.53732,5.60152,2.67923,4.87
13.8672,6.56417,5.61254,2.68473,4.88
13.9234,6.59107,5.62356,2.69023,4.89
13.9798,6.61803,5.63458,2.69574,4.9
14.0362,6.64504,5.6456,2.70124,4.91
14.0928,6.67211,5.65661,2.70674,4.92
14.1495,6.69923,5.66763,2.71224,4.93
14.2062,6.72641,5.67863,2.71774,4.94
14.2631,6.75364,5.68964,2.72324,4.95
14.3201,6.78093,5.70064,2.72874,4.96
14.3773,6.80827,5.71164,2.73425,4.97
14.4345,6.83567,5.72264,2.73975,4.98
14.4918,6.86312,5.73363,2.74525,4.99
14.5493,6.89063,5.74462,2.75075,5
14.6068,6.91819,5.75561,2.75625,5.01
14.6645,6.94581,5.7666,2.76175,5.02
14.7223,6.97348,5.77758,2.76726,5.03
14.7802,7.00121,5.78856,2.77276,5.04
14.8381,7.02899,5.79954,2.77826,5.05
14.8963,7.05683,5.81051,2.78376,5.06
14.9545,7.08472,5.82148,2.78926,5.07
15.0128,7.11267,5.83245,2.79476,5.08
15.0712,7.14067,5.84341,2.80026,5.09
15.1298,7.16873,5.85437,2.80577,5.1
15.1884,7.19684,5.86533,2.81127,5.11
15.2472,7.22501,5.87629,2.81677,5.12
15.3061,7.25323,5.88724,2.82227,5.13
15.365,7.28151,5.89819,2.82777,5.14
15.4241,7.30985,5.90914,2.83327,5.15
15.4833,7.33823,5.92008,2.83877,5.16
15.5426,7.36668,5.93103,2.84428,5.17
15.6021,7.39517,5.94196,2.84978,5.18
15.6616,7.42373,5.9529,2.85528,5.19
15.7212,7.45233,5.96383,2.86078,5.2
15.781,7.481,5.97476,2.86628,5.21
15.8408,7.50971,5.98569,2.87178,5.22
15.9008,7.53849,5.99661,2.87729,5.23
15.9609,7.56732,6.00753,2.88279,5.24
16.0211,7.5962,6.01845,2.88829,5.25
16.0814,7.62514,6.02936,2.89379,5.26
16.1418,7.65413,6.04027,2.89929,5.27
16.2023,7.68318,6.05118,2.90479,5.28
16.2629,7.71228,6.06209,2.91029,5.29
16.3236,7.74144,6.07299,2.9158,5.3
16.3845,7.77065,6.08389,2.9213,5.31
16.4454,7.79992,6.09479,2.9268,5.32
16.5065,7.82924,6.10568,2.9323,5.33
16.5676,7.85862,6.11657,2.9378,5.34
16.6289,7.88805,6.12746,2.9433,5.35
16.6903,7.91754,6.13834,2.9488,5.36
16.7518,7.94708,6.14922,2.95431,5.37
16.8134,7.97668,6.1601,2.95981,5.38
16.8751,8.00634,6.17097,2.96531,5.39
16.9369,8.03604,6.18185,2.97081,5.4
16.9988,8.06581,6.19271,2.97631,5.41
17.0609,8.09562,6.20358,2.98181,5.42
17.123,8.1255,6.21444,2.98732,5.43
17.1853,8.15543,6.2253,2.99282,5.44
17.2476,8.18541,6.23616,2.99832,5.45
17.3101,8.21545,6.24701,3.00382,5.46
17.3727,8.24554,6.25786,3.00932,5.47
17.4354,8.27569,6.26871,3.01482,5.48
17.4982,8.30589,6.27955,3.02032,5.49
17.5611,8.33615,6.29039,3.02583,5.5
17.6241,8.36646,6.30123,3.03133,5.51
17.6872,8.39683,6.31206,3.03683,5.52
17.7504,8.42726,6.3229,3.04233,5.53
17.8138,8.45773,6.33372,3.04783,5.54
17.8772,8.48827,6.34455,3.05333,5.55
17.9408,8.51886,6.35537,3.05883,5.56
18.0044,8.5495,6.36619,3.06434,5.57
18.0682,8.5802,6.37701,3.06984,5.58
18.1321,8.61095,6.38782,3.07534,5.59
18.1961,8.64176,6.39863,3.08084,5.6
18.2602,8.67262,6.40943,3.08634,5.61
18.3244,8.70354,6.42024,3.09184,5.62
18.3887,8.73451,6.43104,3.09735,5.63
18.4531,8.76554,6.44183,3.10285,5.64
18.5176,8.79663,6.45263,3.10835,5.65
18.5822,8.82776,6.46342,3.11385,5.66
18.647,8.85896,6.4742,3.11935,5.67
18.7118,8.89021,6.48499,3.12485,5.68
18.7768,8.92151,6.49577,3.13035,5.69
18.8419,8.95287,6.50655,3.13586,5.7
18.907,8.98428,6.51732,3.14136,5.71
18.9723,9.01575,6.52809,3.14686,5.72
19.0377,9.04727,6.53886,3.15236,5.73
19.1032,9.07885,6.54962,3.15786,5.74
19.1688,9.11049,6.56038,3.16336,5.75
19.2345,9.14218,6.57114,3.16887,5.76
19.3003,9.17392,6.5819,3.17437,5.77
19.3663,9.20572,6.59265,3.17987,5.78
